Brand,Manufacturer,Type,Name,Serving Size,Calories,Total Fat,Sodium,Fiber,Sugar,Protein,Whole Grains,Ingredients,Allegrens,Nutrition Panle,Product Image
Kashi,Kashi,cold cereal,"Kashi GOLEAN Crunch! Cereal",3/4 Cup,190,3 g,100 mg,8 g,13 g,9 g,16 g,"Kashi Seven Whole Grains And Sesame Blend (Whole: Hard Red Wheat, Brown Rice, Barley, Triticale, Oats, Rye, Buckwheat, Sesame Seeds), Soy Flakes, Brown Rice Syrup, Dried Cane Syrup, Chicory Root Fiber, Whole Grain Oats, Expeller Pressed Canola Oil, Honey, Salt, Cinnamon, Mixed Tocopherols For Freshness.","Contains Wheat And Soy Ingredients.",/image/pim/mobile/400_NutritionLabel.jpg,/image/pim/desktop/400_PackShot.png
Kashi,Kashi,cold cereal,"Kashi GOLEAN Crunch! Cereal, Honey Almond Flax",2/3 Cup,200,5 g,140 mg,8 g,12 g,9 g,13 g,"Kashi Seven Whole Grains And Sesame Blend (Whole: Hard Red Wheat, Brown Rice, Barley, Triticale, Oats, Rye, Buckwheat, Sesame Seeds), Soy Flakes, Brown Rice Syrup, Dried Cane Syrup, Chicory Root Fiber, Almonds, Whole Flax Seed, Whole Oats, Expeller Pressed Canola Oil, Honey, Salt, Natural Flavor , Mixed Tocopherols For Freshness.","Contains Wheat, Soy And Almond Ingredients.",/image/pim/mobile/401_NutritionLabel.jpg,/image/pim/desktop/401_PackShot.png
Kashi,Kashi,cold cereal,"Kashi GOLEAN Cereal, Original",1 Cup,160,1 g,90 mg,10 g,9 g,13 g,8 g,"Soy Grits, Honey Puffed Kashi (Hard Red Wheat, Brown Rice, Honey, Cane Syrup, Barley, Triticale, Oats, Rye, Buckwheat, Sesame Seeds), Cane Syrup, Degerminated Yellow Corn Meal, Degerminated Yellow Corn Flour, Wheat Bran, Oat Fiber, Soy Protein Isolate, Corn Bran, Soy Protein Concentrate, Kashi Seven Whole Grains & Sesame Flour (Whole: Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat, Sesame Seeds), Salt, Natural Flavors, Annatto Color.","Contains Soy And Wheat Ingredients.",/image/pim/mobile/402_NutritionLabel.jpg,/image/pim/desktop/402_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Good Friends Cereal, Original",1 Cup,160,1.5 g,110 mg,12 g,10 g,5 g,10 g,"Wheat Bran, Granola (Whole Grain Oats, Whole Grain Wheat, Brown Rice Syrup, Evaporated Cane Juice, Crisp Rice [Rice Flour, Evaporated Cane Juice, Malt Extract, Salt], Evaporated Cane Juice Syrup, Expeller Pressed Canola Oil, Waxy Maize Starch, Salt, Honey, Natural Flavors, Mixed Tocopherols Added For Freshness), Evaporated Cane Juice Syrup, Yellow Corn Meal, Corn Flour, Kashi Seven Whole Grain & Sesame® Flour (Whole Grain Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat, Sesame Seeds), Corn Bran, Oat Fiber, Soy Protein Concentrate, Expeller Pressed Canola Oil, Salt, Natural Flavors, Annatto Color.","Contains Wheat And Soybean Ingredients.",/image/pim/mobile/403_NutritionLabel.jpg,/image/pim/desktop/403_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Heart to Heart Cereal, Honey Toasted Oat",3/4 Cup,120,1.5 g,90 mg,4 g,5 g,4 g,14 g,"Whole Oat Flour, Cane Syrup, Oat Bran, Degerminated Yellow Corn Flour, Degerminated Yellow Corn Meal, Kashi Seven Whole Grain Flour (Whole: Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat), Oat Fiber, Honey, Salt, Expeller Pressed Canola Oil, Baking Soda, Vitamin C (Ascorbic Acid), Vitamin E (Alpha Tocopherol Acetate), Mixed Tocopherols For Freshness, Beta Carotene (Source Of Vitamin A), Vitamin B6 (Pyridoxine Hydrochloride), Natural Flavor, Vitamin B12, Folic Acid.","Contains Wheat Ingredients.",/image/pim/mobile/405_NutritionLabel.jpg,/image/pim/desktop/405_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Heart to Heart Cereal, Oat Flakes &amp; Blueberry Clusters",1 Cup,200,2 g,135 mg,4 g,12 g,6 g,14 g,"Oat Blend (Whole Grain Oats, Oat Bran), Rice, Cane Syrup, Rolled Oats, Dried Cane Syrup, Invert Cane Syrup, Kashi Cracked Seven Whole Grain Blend (Whole: Rolled Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat), Brown Rice Syrup, Malt Extract, Multigrain Crisps (Whole Wheat Flour, Brown Rice Flour, Yellow Corn Flour, Cane Syrup, Whole Oat Flour, Wheat Starch, Salt, Calcium Carbonate), Blueberries, Evaporated Salt, Vegetable Juice For Color, Natural Flavor, Mixed Tocopherols For Freshness, Vitamin C (Ascorbic Acid), Vitamin E (Alpha Tocopherol Acetate), Blueberry Juice Concentrate, Baking Soda, Grape Juice Concentrate, Beta Carotene (Source Of Vitamin A), Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B12, Folic Acid.","Contains Wheat Ingredients",/image/pim/mobile/406_NutritionLabel.jpg,/image/pim/desktop/406_PackShot.png
Kashi,Kashi,cold cereal,"Kashi 7 Whole Grain Cereals, Honey Puffs",1 Cup,120,1 g,0 mg,2 g,6 g,3 g,23 g,"Whole Hard Red Wheat, Whole Brown Rice, Honey, Dried Cane Syrup, Whole Oats, Whole Barley, Whole Triticale, Whole Rye, Whole Buckwheat, Sesame Seeds.","Contains Wheat Ingredients.",/image/pim/mobile/407_NutritionLabel.jpg,/image/pim/desktop/407_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Whole Wheat Biscuits, Autumn Wheat Cereal",29 Biscuits,180,1 g,0 mg,6 g,7 g,6 g,50 g,"Organic Whole Grain Wheat, Organic Dried Cane Syrup, Natural Flavor.","Contains Wheat Ingredients.",/image/pim/mobile/408_NutritionLabel.jpg,/image/pim/desktop/408_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Whole Wheat Biscuits, Cinnamon Harvest Cereal",28 Biscuits,180,1 g,0 mg,5 g,9 g,6 g,47 g,"Organic Whole Grain Wheat, Organic Dried Cane Syrup, Organic Cinnamon, Natural Cinnamon Flavor.","Contains Wheat Ingredients.",/image/pim/mobile/410_NutritionLabel.jpg,/image/pim/desktop/410_PackShot.png
Kashi,Kashi,cold cereal,"Kashi 7 Whole Grain Cereals, Puffs",1 Cup,70,0.5 g,0 mg,1 g,0 g,2 g,18 g,"Kashi Seven Whole Grains & Sesame Blend (Whole Hard Red Wheat, Whole Brown Rice, Whole Oats, Whole Barley, Whole Triticale, Whole Rye, Whole Buckwheat, Sesame Seeds).","Contains Wheat Ingredients.",/image/pim/mobile/412_NutritionLabel.jpg,/image/pim/desktop/412_PackShot.png
